"","Code","N","Leaf_size","Total_leaf_size","Leaf_thickness","Max_height","Height_at_5cm","Crown_ratio","Light_at_5cm","SLA","Bark_at_5cm","Bark_at_8mm","Wood_density","FG","Habit"
"1","ROMO",5,7137.9406782,7137.9406782,0.358,5,3.35014010032656,0.589257664980713,2.77011535833935,54.87762242,7.44744304189206,1.2717119264,0.668108318,"S","tree"
"2","STCA",12,2725.75013463333,2725.75013463333,0.283333333333333,10,5.08969197945465,0.618181340050752,3.11930295400015,78.4881736518182,3.27825709597092,0.64464726,0.564925532166667,"S","tree"
"3","DIBU",5,10548.7854244,10548.7854244,0.48,6,2.73403826187462,0.457603903134045,3.58832178140999,65.283274516,12.1410396882697,1.5994222992,0.4187682084,"S","tree"
"4","ALED",6,8439.55302483333,8439.55302483333,0.276944444444444,7,5.19542370440558,0.685402504508075,2.39665856199949,76.1100933433333,3.14593884678692,0.589049272,0.8238028135,"F","treelet"
"5","COLA",15,1098.27294948333,7227.63432233333,0.165,15,7.88304229009702,0.593478213647206,3.29619549784204,95.21542781,8.76254490858404,0.704123128,0.516624202833333,"G","tree"
"6","PIRO",5,8080.5445608,8080.5445608,0.494333333333333,8,2.44236095041797,0.612203329713766,4.38741431262997,58.0696591,12.9825376589977,1.2423001408,0.5773630776,"S","treelet"
"7","PLPO",11,2983.34535372,2983.34535372,0.256666666666667,10,4.49270901907326,0.665278321679407,3.38335055766651,77.740516267,9.18447856124735,1.3679510304,0.6277457042,"S","tree"
"8","BYCO",5,2790.4772316,2790.4772316,0.323333333333333,6,4.06798773670187,0.538199363360654,2.5511449556217,81.761138718,9.27485457708034,1.2699546736,0.6895979772,"S","tree"
"9","DARA",7,930.09073188,930.09073188,0.309333333333333,12,7.57234878376087,0.430072348894188,2.88862508428146,102.42494235,5.89220418169996,1.0949254416,0.4262348364,"G","tree"
"10","BARU",5,5797.3977878,5797.3977878,0.436,3.95,NA,0.491847570595072,NA,86.329107008,NA,0.944977568,0.6177401052,"S","shrub"
"11","MYLI",5,2814.9091466,2814.9091466,0.356666666666667,5.35,3.19927933931752,0.743899655696743,3.05402500630475,69.886893456,9.38538730634198,1.6037187424,0.5201239562,"G","tree"
"12","TEGL",10,3129.3462854,3129.3462854,0.272,16,7.31574489524888,0.586533050752701,3.09948532030474,77.17252765,6.61139594917424,0.9133298992,0.7036905874,"F","tree"
"13","LAHA",7,2026.463575,2026.463575,0.24,8,5.75278581798379,0.842983679442113,2.31432164595213,125.033330383333,2.14691091738256,0.654625864,0.5467109092,"F","treelet"
"14","COSU",5,1506.6577282,10213.4279242,0.366,7,2.30230335991024,0.604832193250405,3.44940731833799,62.273669934,12.9957370861946,1.6337263248,0.4494212164,"S","treelet"
"15","STAD",5,352.7775444,43173.583328,0.220666666666667,5,2.7743176896553,0.661194747281704,4.05553850778399,91.598996958,8.48925203667742,1.888065584,0.4655286348,"S","tree"
"16","ANCO",6,4662.72084433333,4662.72084433333,0.465555555555556,9,5.00941201525846,0.577667660015294,3.7053544948685,72.9540577516667,7.79726313399632,1.84269646133333,0.3997264335,"S","tree"
"17","CASY",15,981.40981375,981.40981375,0.170555555555556,10,6.23448401965903,0.505332148322343,2.59520343079191,98.72325622,4.0722983196807,1.01158087866667,0.6609211425,"F","tree"
"18","MAEL",12,1365.12865116,12615.0870676,0.263333333333333,14,6.72520024592898,0.653966551715941,3.01850523649437,79.141775581,3.39097850886884,1.0044992272,0.6310054742,"F","tree"
"19","ZARH",5,452.40132848,8017.2558074,0.22,12,7.86900675946689,0.51173944895684,3.59245550879128,98.154673632,2.85377717825604,0.9204824336,0.5554509776,"F","tree"
"20","MILI",10,1308.9584178,1308.9584178,0.251333333333333,8,5.08178571401966,0.715952156261367,3.12912118900867,92.6703720466667,5.1426940492897,1.0285822528,0.6419342322,"G","treelet"
"21","ERGR",10,2802.5984542,13171.9253372,0.376666666666667,17,3.2060768324394,0.607908284393285,3.36507068827841,73.0632332,13.7595232325069,1.9954520688,0.3877375974,"S","tree"
"22","MABR",10,964.36544374,7350.9845,0.173333333333333,15,8.30940615972057,0.603987692187567,3.66361219819864,111.967963107,3.51094277963587,0.8606904112,0.5446461634,"F","tree"
"23","MYTO",12,1699.69628438,1699.69628438,0.276666666666667,12,4.9148438734897,0.631797645342572,2.70905410674448,76.3067139711111,4.53091586155755,0.8368975472,0.7812410558,"G","tree"
"24","QUCO",5,3734.930901,3734.930901,0.235333333333333,11,4.54013252745376,0.481390351679455,3.3963952845872,106.919785184,8.67886724102176,0.8914105696,0.624664007,"G","tree"
"25","SCVI",10,2099.4135558,14695.8948904,0.355333333333333,5,3.84973759783298,0.659134494232848,3.13885322797848,71.448686623,2.22644750775133,1.0697033808,0.438604294,"S","treelet"
"26","ZEMO",5,4088.2007174,21609.444202,0.423333333333333,2.8,NA,0.722345636819321,NA,90.582619866,NA,1.5380993312,0.49699631,"S","shrub"
"27","SYPU",10,2840.94775,2840.94775,0.308666666666667,8,5.34225357046025,0.534995635635542,3.45287016182289,88.719223312,5.01287402802506,0.8982418368,0.5151643102,"S","treelet"
"28","GOPO",27,3354.92018526,3354.92018526,0.410666666666667,13,4.93950427595848,0.715252996275251,3.37895281354629,65.8894863163158,16.424222656344,1.03020282666667,0.618323529,"G","tree"
"29","CAAD",11,1331.67631852,1331.67631852,0.332666666666667,3.5,2.17289045779814,0.616329588048866,3.41933993608651,68.716851854,2.15777785190506,0.8486175008,0.719158424,"S","shrub"
"30","STRO",18,89.7893908957143,21844.9309718571,0.178333333333333,5.5,3.34459834298227,0.552148565608782,3.73995814263067,84.5029584854545,8.95720560698732,1.23678103428571,0.432781415285714,"S","tree"
"31","RAGU",5,2688.7061702,2688.7061702,0.366666666666667,8,3.16657192140332,0.538516071524651,3.58279278130372,76.797392884,9.58782735730562,1.478566464,0.4992447896,"G","tree"
"32","CHMA",5,1148.09693574,1148.09693574,0.232666666666667,10,4.26011682295959,0.84059620596206,3.0409750246845,107.177570832,2.6804112648829,0.5864031008,0.7072963916,"F","tree"
"33","LIMO",6,1304.32273096,6521.6136542,0.231333333333333,12,6.45605179862596,0.593086230644275,2.60435341900044,105.96176042,3.46013124379044,0.752909088,0.5682385654,"G","tree"
"34","BOVI",5,797.77223698,11437.6987584,0.247333333333333,16,6.31039916321348,0.548502514199376,3.59989076702543,86.55506444,10.4738411145861,1.8758166272,0.567884798,"S","tree"
"35","RAFE",7,1932.304098,1932.304098,0.263888888888889,12,6.20321482277983,0.529249146395454,3.21802131112534,112.16967756,2.18088186376893,1.01611642666667,0.622897865,"F","tree"
"36","OCPU",10,855.36113334,855.36113334,0.286,30,4.54691964396029,0.65031795985484,3.85857752429493,64.680360312,2.12164652453597,0.6957548912,0.649871574,"G","tree"
"37","MYMU",6,510.49641264,510.49641264,0.222,7,5.40372722284687,0.582774004009423,2.974953842182,95.165644086,1.06795033271444,0.5850189696,0.686089236,"F","tree"
"38","TAGU",17,1640.12700681818,12495.3005770909,0.234545454545455,14,7.23596603073589,0.688174730873078,3.6151059382839,82.84070096125,2.98652623853887,0.614927367272727,0.582067754727273,"F","tree"
"39","LEEL",15,852.57253482,7865.2961682,0.29,11,4.90462671736554,0.62521274116692,2.92045274740484,77.1170304672727,15.6937066412525,2.3857157824,0.7004165014,"S","tree"
"40","MYFA",18,227.208207716667,227.208207716667,0.250666666666667,10,4.64668895742999,0.657630971408533,2.99637551913332,81.9545551154545,6.89976089141887,1.15253695466667,0.566545575666667,"F","tree"
"41","CABR",5,6705.3657454,20116.097236,0.454666666666667,3.75,2.32019476942201,0.632188008430071,3.71148220755751,75.11612722,12.5976109160466,0.8925162576,0.5903615052,"S","tree"
"42","STFE",6,2908.80156733333,2908.80156733333,0.480555555555556,14,4.32701046911873,0.721150169061667,3.39099164815985,63.8443451016667,13.9325453820097,0.773533633333333,0.468739767833333,"S","tree"
"43","RAUM",17,2434.06467608,2434.06467608,0.386,15,6.27322922545365,0.597182099173296,3.35524454207781,63.300343912,3.66732332756582,0.9037949632,0.6849334094,"G","tree"
"44","TOFO",5,8656.429144,8656.429144,0.688666666666667,2.6,NA,0.304320438803971,NA,85.002799266,NA,1.2384779664,0.6559350994,"S","shrub"
"45","ANCR",12,4857.82356171429,4857.82356171429,0.345714285714286,12,4.4420580877451,0.673498776929597,3.58109175113929,67.964026575,15.5616741883531,1.787445608,0.372258546571429,"S","tree"
"46","DUFU",5,3172.6805546,3172.6805546,0.332,2.53,NA,0.847580837182723,NA,52.590315598,NA,1.3598846288,0.6062577318,"S","shrub"
"47","QUGR",5,6318.2583524,6318.2583524,0.380666666666667,12,5.18885261151514,0.599761254862133,2.92171020768669,62.657420718,11.1282940535489,1.0321284336,0.5574552358,"S","tree"
"48","DIMO",11,53.185828798,38599.040284,0.181333333333333,14,3.50196445635155,0.635571118635494,4.16944072109097,84.146577091,11.0772442024049,1.210692872,0.4750357888,"S","tree"
"49","ERSU",5,2782.4864778,2782.4864778,0.278,4,2.54479701984509,0.722806902393959,3.92851317671235,83.018468546,14.4216550722341,2.3277438,0.6006542796,"S","treelet"
"50","KICO",5,5864.034767,5864.034767,0.392666666666667,3.5,2.15030020720848,0.525075825254083,3.12255966420429,76.69429054,16.8205309113382,1.885817576,0.43617147,"S","tree"
"51","MAAC",18,1229.3676288,17115.073244,0.211333333333333,14,5.12715464828463,0.532362607086454,3.30036927048974,86.891373625,15.3662378183305,1.111245296,0.638275682,"S","tree"
"52","VOTU",24,2145.55606533333,2145.55606533333,0.324,15,6.64693277511218,0.758262338188057,3.35114246221916,88.8799255290909,9.44777592309471,0.871469634666667,0.488284664833333,"G","tree"
"53","GOBA",10,6356.4763284,6356.4763284,0.452666666666667,6.5,3.31190881906786,0.602125064163216,3.8760008987998,103.725771671,3.353104976789,0.7658458288,0.7459366674,"S","shrub"
"54","MIAL",9,5345.8590505,10863.8422365,0.3775,4.83,2.96514250318262,0.824611689080484,3.09259473994206,57.4861904811111,7.08432024767657,1.0047184,0.69240955225,"S","treelet"
"55","AEVE",12,6025.82888916667,6025.82888916667,0.341111111111111,4.5,3.34356199761103,0.449586166427284,3.98317808456863,96.2705694990909,9.14198180252884,1.13107658133333,0.425399702,"S","tree"
"56","CESE",2,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,"F","shrub"
"57","PEOB",21,1875.1472526,1875.1472526,0.256,14,7.83175828589748,0.682289503088463,3.31664198291269,104.651650987273,4.01898155020635,0.758229352,0.542815699,"F","tree"
"58","ANDI",5,10233.4578214,10233.4578214,0.473333333333333,2,1.76065296093025,0.634975879040408,3.92757348325511,114.497480302,NA,1.1873338384,0.3241228446,"S","shrub"
"59","SOLY",5,10136.90954825,10136.90954825,0.471666666666667,1.2,NA,0.798383838383838,NA,123.34635987,NA,0.8431484528,0.5145645706,"S","shrub"
